식품명,에너지,단백질,지방,탄수화물,1회제공량
국산콩으로 진하게 갈아만든 두부,220,22,12,6,230.0
국산콩 한끼두부 찌개용,90,7,6,2,110.0
국산콩 한끼두부 부침용,90,8,6,2,110.0
국산콩 투컵두부 - 찌개용,75,7,4.8,2,100.0
국산콩 순두부,50,5,3.1,1,100.0
초당 순두부,53.5,5.9,3.1,0.5,100.0
선데이 카야잼,62,0.8,1.6,11.2,20.0
건강한 부침가루,365,11,2.9,74,100.0
스타벅스 더블샷 에스프레소&크림,115,3.8,2.4,20,200.0
맥심 에스프레소 티.오.피 스위트 아메리카노,48,0,0,12,275.0
시그니처 스위트 아메리카노,43,1,0,10,275.0
칸타타 카라멜 마키아토,122,2,2,24,275.0
맥스웰하우스 콜롬비아나 카페라떼,90,1,1.5,18,240.0
프레스코 압착올리브유,900,0,100,0,100.0
포도씨유,900,0,100,0,100.0
해표 카놀라유,900,0,100,0,100.0
백설 콩기름,900,0,100,0,100.0
오뚜기 옛날참기름,828,0,92,0,100.0
빈츠,45,0,2.3,5,8.0
오리온 핫브레이크 미니l,69,1,3.7,8,14.0
미니 자유시간,47,0.9,2.2,6,10.0
허쉬 크리미 밀크초콜릿,545,9,31,57,100.0
초코파이 정,171,2,7,25,39.0
